Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,100,-1.78E-05,0.460337826,Uniaxial tension
Al6061,100,-2.52E-05,0.893298277,Uniaxial tension
Al6061,100,-4.59E-05,1.407750725,Uniaxial tension
Al6061,100,-6.11E-05,1.965058478,Uniaxial tension
Al6061,100,-9.55E-05,2.850505117,Uniaxial tension
Al6061,100,-0.000141613,3.977797583,Uniaxial tension
Al6061,100,-0.000190618,5.379124433,Uniaxial tension
Al6061,100,-0.00023658,6.853165253,Uniaxial tension
Al6061,100,-0.000298542,8.3355024,Uniaxial tension
Al6061,100,-0.00034744,9.840001294,Uniaxial tension
Al6061,100,-0.000392971,11.37528114,Uniaxial tension
Al6061,100,-0.00041079,12.97072039,Uniaxial tension
Al6061,100,-0.000417691,14.58297261,Uniaxial tension
Al6061,100,-0.000423085,16.16828449,Uniaxial tension
Al6061,100,-0.000422638,17.80246979,Uniaxial tension
Al6061,100,-0.000410629,19.50125553,Uniaxial tension
Al6061,100,-0.000393793,21.23752863,Uniaxial tension
Al6061,100,-0.000373098,23.0199941,Uniaxial tension
Al6061,100,-0.000362217,24.89105561,Uniaxial tension
Al6061,100,-0.000350009,26.76717388,Uniaxial tension
Al6061,100,-0.000331101,28.66576512,Uniaxial tension
Al6061,100,-0.000302221,30.58804514,Uniaxial tension
Al6061,100,-0.000272287,32.5086618,Uniaxial tension
Al6061,100,-0.000240716,34.48716116,Uniaxial tension
Al6061,100,-0.000217009,36.4914774,Uniaxial tension
Al6061,100,-0.000189823,38.48915641,Uniaxial tension
Al6061,100,-0.000161296,40.50457581,Uniaxial tension
Al6061,100,-0.000130966,42.52473868,Uniaxial tension
Al6061,100,-9.55E-05,44.54082595,Uniaxial tension
Al6061,100,-6.53E-05,46.5870462,Uniaxial tension
Al6061,100,-3.46E-05,48.63014204,Uniaxial tension
Al6061,100,4.02E-06,50.6877743,Uniaxial tension
Al6061,100,4.15E-05,52.76043438,Uniaxial tension
Al6061,100,8.13E-05,54.88288741,Uniaxial tension
Al6061,100,0.00012072,57.06941279,Uniaxial tension
Al6061,100,0.000151064,59.2624167,Uniaxial tension
Al6061,100,0.000193459,61.44212993,Uniaxial tension
Al6061,100,0.000235556,63.65741174,Uniaxial tension
Al6061,100,0.000279322,65.86056336,Uniaxial tension
Al6061,100,0.00032327,68.07253592,Uniaxial tension
Al6061,100,0.000373786,70.27612563,Uniaxial tension
Al6061,100,0.000418953,72.47950623,Uniaxial tension
Al6061,100,0.000465948,74.72077732,Uniaxial tension
Al6061,100,0.000498335,76.98702283,Uniaxial tension
Al6061,100,0.000543445,79.23493854,Uniaxial tension
Al6061,100,0.000589747,81.51881207,Uniaxial tension
Al6061,100,0.000634283,83.81706318,Uniaxial tension
Al6061,100,0.00066927,86.13718589,Uniaxial tension
Al6061,100,0.000710617,88.43366426,Uniaxial tension
Al6061,100,0.000751789,90.70621098,Uniaxial tension
Al6061,100,0.000814611,92.99601146,Uniaxial tension
Al6061,100,0.000859285,95.2862149,Uniaxial tension
Al6061,100,0.000902072,97.53530182,Uniaxial tension
Al6061,100,0.000945685,99.78801583,Uniaxial tension
Al6061,100,0.000992889,102.0105495,Uniaxial tension
Al6061,100,0.001038544,104.2246251,Uniaxial tension
Al6061,100,0.001087872,106.4293887,Uniaxial tension
Al6061,100,0.001131055,108.6409463,Uniaxial tension
Al6061,100,0.001177443,110.840493,Uniaxial tension
Al6061,100,0.001220985,113.0521651,Uniaxial tension
Al6061,100,0.001269501,115.2207438,Uniaxial tension
Al6061,100,0.001312827,117.37312,Uniaxial tension
Al6061,100,0.001354934,119.5084455,Uniaxial tension
Al6061,100,0.001392781,121.6165331,Uniaxial tension
Al6061,100,0.001431468,123.7430217,Uniaxial tension
Al6061,100,0.001473918,125.8258901,Uniaxial tension
Al6061,100,0.001517753,127.9211324,Uniaxial tension
Al6061,100,0.001552826,130.0133766,Uniaxial tension
Al6061,100,0.001596349,132.1137625,Uniaxial tension
Al6061,100,0.001630098,134.2083588,Uniaxial tension
Al6061,100,0.001674537,136.3211337,Uniaxial tension
Al6061,100,0.001714667,138.3605621,Uniaxial tension
Al6061,100,0.001758184,140.4188727,Uniaxial tension
Al6061,100,0.00179614,142.4393345,Uniaxial tension
Al6061,100,0.001841184,144.4452903,Uniaxial tension
Al6061,100,0.001878402,146.4381279,Uniaxial tension
Al6061,100,0.001925774,148.4310079,Uniaxial tension
Al6061,100,0.001962484,150.4076272,Uniaxial tension
Al6061,100,0.002008388,152.3789216,Uniaxial tension
Al6061,100,0.002043398,154.3468247,Uniaxial tension
Al6061,100,0.002082758,156.3182711,Uniaxial tension
Al6061,100,0.002119647,158.2535432,Uniaxial tension
Al6061,100,0.002159406,160.1908978,Uniaxial tension
Al6061,100,0.002198116,162.0938355,Uniaxial tension
Al6061,100,0.002241744,163.9888099,Uniaxial tension
Al6061,100,0.002276637,165.8615992,Uniaxial tension
Al6061,100,0.002319504,167.7316832,Uniaxial tension
Al6061,100,0.002363715,169.5861781,Uniaxial tension
Al6061,100,0.002401589,171.4428203,Uniaxial tension
Al6061,100,0.002438691,173.2642672,Uniaxial tension
Al6061,100,0.002480804,175.0640365,Uniaxial tension
Al6061,100,0.002517779,176.8708319,Uniaxial tension
Al6061,100,0.002557157,178.6863673,Uniaxial tension
Al6061,100,0.002593604,180.4740052,Uniaxial tension
Al6061,100,0.002630916,182.2757477,Uniaxial tension
Al6061,100,0.002672456,184.1084202,Uniaxial tension
Al6061,100,0.002719678,185.9235078,Uniaxial tension
Al6061,100,0.002758494,187.7473346,Uniaxial tension
Al6061,100,0.002800698,189.5680817,Uniaxial tension
Al6061,100,0.002841539,191.3920244,Uniaxial tension
Al6061,100,0.002881961,193.2054256,Uniaxial tension
Al6061,100,0.002925482,195.0013352,Uniaxial tension
Al6061,100,0.002967653,196.7590504,Uniaxial tension
Al6061,100,0.003000142,198.5322539,Uniaxial tension
Al6061,100,0.003037064,200.3231178,Uniaxial tension
Al6061,100,0.003076193,202.0743578,Uniaxial tension
Al6061,100,0.003118505,203.8012815,Uniaxial tension
Al6061,100,0.003161299,205.5517534,Uniaxial tension
Al6061,100,0.003199618,207.2621185,Uniaxial tension
Al6061,100,0.003236118,209.0179583,Uniaxial tension
Al6061,100,0.003280267,210.7499174,Uniaxial tension
Al6061,100,0.003326173,212.4725451,Uniaxial tension
Al6061,100,0.003365693,214.196035,Uniaxial tension
Al6061,100,0.003408242,215.9359522,Uniaxial tension
Al6061,100,0.003450359,217.6553258,Uniaxial tension
Al6061,100,0.003494183,219.3602407,Uniaxial tension
Al6061,100,0.003543783,221.0148344,Uniaxial tension
Al6061,100,0.003582823,222.653462,Uniaxial tension
Al6061,100,0.003629324,224.2434203,Uniaxial tension
Al6061,100,0.003682251,225.8060906,Uniaxial tension
Al6061,100,0.003727696,227.3220141,Uniaxial tension
Al6061,100,0.003777623,228.7864482,Uniaxial tension
Al6061,100,0.003832681,230.2477751,Uniaxial tension
Al6061,100,0.003882506,231.6403526,Uniaxial tension
Al6061,100,0.003941304,232.9888287,Uniaxial tension
Al6061,100,0.004000192,234.3198354,Uniaxial tension
Al6061,100,0.004062365,235.5655946,Uniaxial tension
Al6061,100,0.004132223,236.7560191,Uniaxial tension
Al6061,100,0.004201311,237.9379829,Uniaxial tension
Al6061,100,0.00427506,239.0429237,Uniaxial tension
Al6061,100,0.004356764,240.110189,Uniaxial tension
Al6061,100,0.004455602,241.1336673,Uniaxial tension
Al6061,100,0.004559833,242.0670812,Uniaxial tension
Al6061,100,0.004674488,243.0106882,Uniaxial tension
Al6061,100,0.004801227,243.8795482,Uniaxial tension
Al6061,100,0.004954124,244.6050532,Uniaxial tension
Al6061,100,0.005106164,245.2627303,Uniaxial tension
Al6061,100,0.005279161,245.8265023,Uniaxial tension
Al6061,100,0.005457988,246.3129662,Uniaxial tension
Al6061,100,0.005646534,246.748267,Uniaxial tension
Al6061,100,0.005840911,247.0800484,Uniaxial tension
Al6061,100,0.0060419,247.3597401,Uniaxial tension
Al6061,100,0.006241632,247.6242993,Uniaxial tension
Al6061,100,0.006461711,247.8576088,Uniaxial tension
Al6061,100,0.006678527,248.0668984,Uniaxial tension
Al6061,100,0.006898005,248.2342244,Uniaxial tension
Al6061,100,0.007123622,248.3675455,Uniaxial tension
Al6061,100,0.007353357,248.5431871,Uniaxial tension
Al6061,100,0.00758272,248.7047489,Uniaxial tension
Al6061,100,0.007812154,248.839279,Uniaxial tension
Al6061,100,0.008041178,248.9647485,Uniaxial tension
Al6061,100,0.008277681,249.1077218,Uniaxial tension
Al6061,100,0.008512368,249.2572372,Uniaxial tension
Al6061,100,0.008744584,249.4331818,Uniaxial tension
Al6061,100,0.008980672,249.5349358,Uniaxial tension
Al6061,100,0.009221586,249.6341197,Uniaxial tension
Al6061,100,0.009459387,249.7601534,Uniaxial tension
Al6061,100,0.009700821,249.8934024,Uniaxial tension
Al6061,100,0.00993812,250.0006537,Uniaxial tension
Al6061,100,0.010181783,250.1211419,Uniaxial tension
Al6061,100,0.010416781,250.2134594,Uniaxial tension
Al6061,100,0.010654357,250.3347865,Uniaxial tension
Al6061,100,0.010883007,250.4527592,Uniaxial tension
Al6061,100,0.011115358,250.5698425,Uniaxial tension
Al6061,100,0.011337646,250.689046,Uniaxial tension
Al6061,100,0.011554863,250.8097374,Uniaxial tension
Al6061,100,0.011776277,250.9443143,Uniaxial tension
Al6061,100,0.012008103,251.1054262,Uniaxial tension
Al6061,100,0.012222408,251.2279248,Uniaxial tension
Al6061,100,0.012437637,251.3526304,Uniaxial tension
Al6061,100,0.012653864,251.4680116,Uniaxial tension
Al6061,100,0.012872768,251.5605034,Uniaxial tension
Al6061,100,0.013100947,251.6451939,Uniaxial tension
Al6061,100,0.013317936,251.7376325,Uniaxial tension
Al6061,100,0.013529458,251.8185176,Uniaxial tension
Al6061,100,0.0137522,251.9177315,Uniaxial tension
Al6061,100,0.013979133,252.0282518,Uniaxial tension
Al6061,100,0.014202191,252.1413137,Uniaxial tension
Al6061,100,0.014417321,252.2506767,Uniaxial tension
Al6061,100,0.014623948,252.3978243,Uniaxial tension
Al6061,100,0.014836258,252.507769,Uniaxial tension
Al6061,100,0.015052101,252.6288621,Uniaxial tension
Al6061,100,0.015259013,252.7452709,Uniaxial tension
Al6061,100,0.015462741,252.8606105,Uniaxial tension
Al6061,100,0.015665454,252.9558047,Uniaxial tension
Al6061,100,0.015873012,253.0558613,Uniaxial tension
Al6061,100,0.016080272,253.131167,Uniaxial tension
Al6061,100,0.016280116,253.202135,Uniaxial tension
Al6061,100,0.016476674,253.185607,Uniaxial tension
Al6061,100,0.01668333,253.3054651,Uniaxial tension
Al6061,100,0.016887891,253.3446048,Uniaxial tension
Al6061,100,0.017090043,253.3889627,Uniaxial tension
Al6061,100,0.017289468,253.3919654,Uniaxial tension
Al6061,100,0.017483899,253.4997135,Uniaxial tension
Al6061,100,0.017686797,253.5771476,Uniaxial tension
Al6061,100,0.017885798,253.7176061,Uniaxial tension
Al6061,100,0.018074314,253.7239804,Uniaxial tension
Al6061,100,0.018270492,253.8394612,Uniaxial tension
Al6061,100,0.018462886,253.9736237,Uniaxial tension
Al6061,100,0.018651487,254.1338649,Uniaxial tension
Al6061,100,0.018844864,254.2002449,Uniaxial tension
Al6061,100,0.019031481,254.2871906,Uniaxial tension
Al6061,100,0.019214219,254.3941264,Uniaxial tension
Al6061,100,0.019410477,254.4832113,Uniaxial tension
Al6061,100,0.019596749,254.5439785,Uniaxial tension
Al6061,100,0.019784648,254.5973073,Uniaxial tension
Al6061,100,0.019972235,254.6805478,Uniaxial tension
Al6061,100,0.020158339,254.7462123,Uniaxial tension
Al6061,100,0.02034291,254.8146104,Uniaxial tension
Al6061,100,0.020527794,254.8728223,Uniaxial tension
Al6061,100,0.020704955,254.9653694,Uniaxial tension
Al6061,100,0.02088198,255.0387369,Uniaxial tension
Al6061,100,0.021062508,255.1287573,Uniaxial tension
Al6061,100,0.021248896,255.2001202,Uniaxial tension
Al6061,100,0.02143213,255.2840248,Uniaxial tension
Al6061,100,0.02161955,255.3653588,Uniaxial tension
Al6061,100,0.021809963,255.4783191,Uniaxial tension
Al6061,100,0.021998123,255.5896796,Uniaxial tension
Al6061,100,0.022188316,255.685359,Uniaxial tension
Al6061,100,0.022375388,255.7595892,Uniaxial tension
Al6061,100,0.022561,255.8449364,Uniaxial tension
Al6061,100,0.022751135,255.9143773,Uniaxial tension
Al6061,100,0.022937805,255.9992771,Uniaxial tension
Al6061,100,0.023119435,256.0608145,Uniaxial tension
Al6061,100,0.023304742,256.0998592,Uniaxial tension
Al6061,100,0.023487402,256.1797824,Uniaxial tension
Al6061,100,0.02366945,256.2708912,Uniaxial tension
Al6061,100,0.023849629,256.3368622,Uniaxial tension
Al6061,100,0.024031025,256.4140797,Uniaxial tension
Al6061,100,0.024203648,256.5127977,Uniaxial tension
Al6061,100,0.024383232,256.5935874,Uniaxial tension
Al6061,100,0.024562971,256.6676703,Uniaxial tension
Al6061,100,0.02474138,256.744835,Uniaxial tension
Al6061,100,0.024920153,256.7824615,Uniaxial tension
Al6061,100,0.025099606,256.834014,Uniaxial tension
Al6061,100,0.025279695,256.8882122,Uniaxial tension
Al6061,100,0.025463679,256.9260143,Uniaxial tension
Al6061,100,0.025643533,256.98036,Uniaxial tension
Al6061,100,0.025827013,257.0659546,Uniaxial tension
Al6061,100,0.026009722,257.1214186,Uniaxial tension
Al6061,100,0.026192289,257.2039854,Uniaxial tension
Al6061,100,0.026379141,257.2977859,Uniaxial tension
Al6061,100,0.026551913,257.387683,Uniaxial tension
Al6061,100,0.02673269,257.4709746,Uniaxial tension
Al6061,100,0.026916738,257.5198778,Uniaxial tension
Al6061,100,0.027089751,257.5695084,Uniaxial tension
Al6061,100,0.02727264,257.6460722,Uniaxial tension
Al6061,100,0.027451821,257.7232678,Uniaxial tension
Al6061,100,0.027628717,257.7980711,Uniaxial tension
Al6061,100,0.027816664,257.8748516,Uniaxial tension
Al6061,100,0.027996561,257.9479778,Uniaxial tension
Al6061,100,0.028176298,258.0468531,Uniaxial tension
Al6061,100,0.028361098,258.1230141,Uniaxial tension
Al6061,100,0.028536868,258.1619177,Uniaxial tension
Al6061,100,0.028724883,258.2031825,Uniaxial tension
Al6061,100,0.028898456,258.243151,Uniaxial tension
Al6061,100,0.029078456,258.2686323,Uniaxial tension
Al6061,100,0.029257977,258.312151,Uniaxial tension
Al6061,100,0.029437422,258.3485611,Uniaxial tension
Al6061,100,0.029616341,258.4009138,Uniaxial tension
Al6061,100,0.029797869,258.4811087,Uniaxial tension
Al6061,100,0.029969421,258.5484969,Uniaxial tension
Al6061,100,0.030156698,258.6292721,Uniaxial tension
Al6061,100,0.030336703,258.7202227,Uniaxial tension
Al6061,100,0.030521018,258.7933021,Uniaxial tension
Al6061,100,0.03070385,258.865427,Uniaxial tension
Al6061,100,0.030885835,258.9474628,Uniaxial tension
Al6061,100,0.031071884,259.0334244,Uniaxial tension
Al6061,100,0.031259166,259.1253262,Uniaxial tension
Al6061,100,0.031447474,259.2061567,Uniaxial tension
Al6061,100,0.031635702,259.2874235,Uniaxial tension
Al6061,100,0.031824398,259.3669916,Uniaxial tension
Al6061,100,0.032012463,259.4442243,Uniaxial tension
Al6061,100,0.032202918,259.5020608,Uniaxial tension
Al6061,100,0.032386798,259.5662465,Uniaxial tension
Al6061,100,0.032574961,259.6464857,Uniaxial tension
Al6061,100,0.032763694,259.7003397,Uniaxial tension
Al6061,100,0.032957191,259.7667351,Uniaxial tension
Al6061,100,0.033146907,259.8146609,Uniaxial tension
Al6061,100,0.033327184,259.8768027,Uniaxial tension
Al6061,100,0.033515678,259.9329044,Uniaxial tension
Al6061,100,0.033709373,259.9740176,Uniaxial tension
Al6061,100,0.033894396,259.9871654,Uniaxial tension
Al6061,100,0.034075891,259.9945668,Uniaxial tension
Al6061,100,0.034255389,260.0047421,Uniaxial tension
Al6061,100,0.034444563,260.055209,Uniaxial tension
Al6061,100,0.034644266,260.1094323,Uniaxial tension
Al6061,100,0.034839537,260.1313619,Uniaxial tension
Al6061,100,0.035028555,260.152933,Uniaxial tension
Al6061,100,0.035223702,260.1989358,Uniaxial tension
Al6061,100,0.035417823,260.2727689,Uniaxial tension
Al6061,100,0.035609944,260.3200425,Uniaxial tension
Al6061,100,0.035802493,260.3590315,Uniaxial tension
Al6061,100,0.035993998,260.4066748,Uniaxial tension
Al6061,100,0.03616133,260.4866006,Uniaxial tension
Al6061,100,0.03635234,260.5565777,Uniaxial tension
Al6061,100,0.03654917,260.6219609,Uniaxial tension
Al6061,100,0.03673758,260.6866188,Uniaxial tension
Al6061,100,0.036928378,260.7737074,Uniaxial tension
Al6061,100,0.037112308,260.8604346,Uniaxial tension
Al6061,100,0.037302178,260.9378131,Uniaxial tension
Al6061,100,0.037506916,260.99759,Uniaxial tension
Al6061,100,0.037697082,261.0509111,Uniaxial tension
Al6061,100,0.037885982,261.0905078,Uniaxial tension
Al6061,100,0.038073569,261.1217076,Uniaxial tension
Al6061,100,0.038267172,261.1511691,Uniaxial tension
Al6061,100,0.038458566,261.1695514,Uniaxial tension
Al6061,100,0.03865082,261.1930261,Uniaxial tension
Al6061,100,0.03884617,261.2203362,Uniaxial tension
Al6061,100,0.039038423,261.2502282,Uniaxial tension
Al6061,100,0.039223932,261.3030466,Uniaxial tension
Al6061,100,0.039423744,261.3905641,Uniaxial tension
Al6061,100,0.039616183,261.4544585,Uniaxial tension
Al6061,100,0.039810968,261.5302597,Uniaxial tension
Al6061,100,0.039998436,261.5851554,Uniaxial tension
Al6061,100,0.040194683,261.6658493,Uniaxial tension
Al6061,100,0.040389902,261.7612939,Uniaxial tension
Al6061,100,0.04058856,261.8216009,Uniaxial tension
Al6061,100,0.040783254,261.8712664,Uniaxial tension
Al6061,100,0.040980089,261.9248522,Uniaxial tension
Al6061,100,0.041178262,261.9609175,Uniaxial tension
Al6061,100,0.04138049,261.9948199,Uniaxial tension
Al6061,100,0.041575232,262.0184762,Uniaxial tension
Al6061,100,0.04176931,262.0478352,Uniaxial tension
Al6061,100,0.041965938,262.0841366,Uniaxial tension
Al6061,100,0.042159266,262.1216715,Uniaxial tension
Al6061,100,0.042361001,262.1495639,Uniaxial tension
Al6061,100,0.042562252,262.1874533,Uniaxial tension
Al6061,100,0.042756227,262.2190583,Uniaxial tension
Al6061,100,0.042956611,262.2773074,Uniaxial tension
Al6061,100,0.043157818,262.3232949,Uniaxial tension
Al6061,100,0.043357217,262.3766215,Uniaxial tension
Al6061,100,0.043566611,262.3912835,Uniaxial tension
Al6061,100,0.043764268,262.4456327,Uniaxial tension
Al6061,100,0.043964531,262.4818699,Uniaxial tension
Al6061,100,0.04416794,262.5551674,Uniaxial tension
Al6061,100,0.044367573,262.5857514,Uniaxial tension
Al6061,100,0.044568319,262.6179308,Uniaxial tension
Al6061,100,0.044769195,262.6462027,Uniaxial tension
Al6061,100,0.044961864,262.6914261,Uniaxial tension
Al6061,100,0.045163495,262.7087889,Uniaxial tension
Al6061,100,0.045364693,262.7380337,Uniaxial tension
Al6061,100,0.045567032,262.7621318,Uniaxial tension
Al6061,100,0.045767915,262.7891982,Uniaxial tension
Al6061,100,0.045971924,262.8205322,Uniaxial tension
Al6061,100,0.046176692,262.8471464,Uniaxial tension
Al6061,100,0.046382609,262.8943653,Uniaxial tension
Al6061,100,0.046588171,262.9339176,Uniaxial tension
Al6061,100,0.046792907,262.9849583,Uniaxial tension
Al6061,100,0.047003422,263.0363732,Uniaxial tension
Al6061,100,0.04721388,263.101818,Uniaxial tension
Al6061,100,0.047416594,263.1181291,Uniaxial tension
Al6061,100,0.047619069,263.1510534,Uniaxial tension
Al6061,100,0.047826664,263.1497509,Uniaxial tension
Al6061,100,0.048026262,263.1874008,Uniaxial tension
Al6061,100,0.048227949,263.2018947,Uniaxial tension
Al6061,100,0.048429712,263.2095326,Uniaxial tension
Al6061,100,0.048632831,263.2239439,Uniaxial tension
Al6061,100,0.048841443,263.2790219,Uniaxial tension
Al6061,100,0.049053945,263.3362724,Uniaxial tension
Al6061,100,0.049265245,263.4104964,Uniaxial tension
Al6061,100,0.049476373,263.4415941,Uniaxial tension
Al6061,100,0.049700481,263.4574277,Uniaxial tension
Al6061,100,0.049909545,263.4474903,Uniaxial tension
Al6061,100,0.050115951,263.4480605,Uniaxial tension
Al6061,100,0.050321429,263.466879,Uniaxial tension
Al6061,100,0.050524685,263.4775518,Uniaxial tension
Al6061,100,0.05072779,263.4824189,Uniaxial tension
Al6061,100,0.050942289,263.5163295,Uniaxial tension
Al6061,100,0.051134056,263.573859,Uniaxial tension
Al6061,100,0.051342546,263.6433961,Uniaxial tension
Al6061,100,0.051553026,263.7057684,Uniaxial tension
Al6061,100,0.05176544,263.7595011,Uniaxial tension
Al6061,100,0.051974722,263.8067345,Uniaxial tension
Al6061,100,0.052187758,263.8518581,Uniaxial tension
Al6061,100,0.052393679,263.8955802,Uniaxial tension
Al6061,100,0.052613077,263.9361644,Uniaxial tension
Al6061,100,0.05282748,263.9571207,Uniaxial tension
Al6061,100,0.053039616,263.967049,Uniaxial tension
