Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,300,1.03E-05,12.07913785,Uniaxial tension
Al6061,300,1.40E-05,16.43487246,Uniaxial tension
Al6061,300,4.17E-05,20.65559298,Uniaxial tension
Al6061,300,8.81E-05,24.69254349,Uniaxial tension
Al6061,300,0.000155885,32.5725431,Uniaxial tension
Al6061,300,0.000242061,40.38016785,Uniaxial tension
Al6061,300,0.000389642,47.9347434,Uniaxial tension
Al6061,300,0.000576865,54.96979204,Uniaxial tension
Al6061,300,0.00079025,61.30399628,Uniaxial tension
Al6061,300,0.001045143,66.95533275,Uniaxial tension
Al6061,300,0.00136293,71.82641185,Uniaxial tension
Al6061,300,0.001761049,75.85981222,Uniaxial tension
Al6061,300,0.00224804,78.95331672,Uniaxial tension
Al6061,300,0.002810056,81.24119282,Uniaxial tension
Al6061,300,0.003437181,82.77661485,Uniaxial tension
Al6061,300,0.004164383,83.65528174,Uniaxial tension
Al6061,300,0.004954541,84.07652768,Uniaxial tension
Al6061,300,0.005785002,84.22521597,Uniaxial tension
Al6061,300,0.006639746,84.19682892,Uniaxial tension
Al6061,300,0.007513016,84.1182578,Uniaxial tension
Al6061,300,0.00840015,83.97542465,Uniaxial tension
Al6061,300,0.009314703,83.80400813,Uniaxial tension
Al6061,300,0.010226446,83.58464932,Uniaxial tension
Al6061,300,0.011153504,83.3330979,Uniaxial tension
Al6061,300,0.012084495,83.08079081,Uniaxial tension
Al6061,300,0.013025369,82.80258945,Uniaxial tension
Al6061,300,0.013979527,82.50371635,Uniaxial tension
Al6061,300,0.014935093,82.2146858,Uniaxial tension
Al6061,300,0.015902277,81.90213102,Uniaxial tension
Al6061,300,0.016881275,81.59487819,Uniaxial tension
Al6061,300,0.017863153,81.281004,Uniaxial tension
Al6061,300,0.018856632,80.96283105,Uniaxial tension
Al6061,300,0.019861106,80.63787841,Uniaxial tension
Al6061,300,0.020867732,80.30896547,Uniaxial tension
Al6061,300,0.021878431,79.96375878,Uniaxial tension
Al6061,300,0.022899215,79.64297631,Uniaxial tension
Al6061,300,0.02392367,79.31171538,Uniaxial tension
Al6061,300,0.024959309,78.98772496,Uniaxial tension
Al6061,300,0.025998593,78.64693094,Uniaxial tension
Al6061,300,0.027046604,78.34769356,Uniaxial tension
Al6061,300,0.028098384,78.02295283,Uniaxial tension
Al6061,300,0.029160646,77.67606811,Uniaxial tension
Al6061,300,0.030221501,77.34767574,Uniaxial tension
Al6061,300,0.031290452,77.04091671,Uniaxial tension
Al6061,300,0.032357822,76.71718043,Uniaxial tension
Al6061,300,0.033435172,76.41286957,Uniaxial tension
Al6061,300,0.034513158,76.09832117,Uniaxial tension
Al6061,300,0.035601814,75.80300266,Uniaxial tension
Al6061,300,0.036697634,75.53819008,Uniaxial tension
Al6061,300,0.037795796,75.21836022,Uniaxial tension
Al6061,300,0.038894379,74.88601951,Uniaxial tension
Al6061,300,0.040000829,74.58732068,Uniaxial tension
Al6061,300,0.041115141,74.29063313,Uniaxial tension
Al6061,300,0.042230766,73.98209333,Uniaxial tension
Al6061,300,0.043354002,73.68992652,Uniaxial tension
Al6061,300,0.044487456,73.38703104,Uniaxial tension
Al6061,300,0.045629239,73.11416535,Uniaxial tension
Al6061,300,0.046777054,72.80243463,Uniaxial tension
Al6061,300,0.047925944,72.51894946,Uniaxial tension
Al6061,300,0.0490698,72.20905905,Uniaxial tension
Al6061,300,0.05022546,71.93080806,Uniaxial tension
Al6061,300,0.051386652,71.66012381,Uniaxial tension
Al6061,300,0.052553374,71.39084988,Uniaxial tension
Al6061,300,0.053726361,71.11614827,Uniaxial tension
Al6061,300,0.054901631,70.89251371,Uniaxial tension
Al6061,300,0.056090406,70.59799813,Uniaxial tension
Al6061,300,0.057287865,70.35946033,Uniaxial tension
Al6061,300,0.058492372,70.09240895,Uniaxial tension
Al6061,300,0.059691235,69.80028263,Uniaxial tension
