Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,20,0.044140539,281.698465,Uniaxial tension
Al6061,20,0.044658523,281.9021094,Uniaxial tension
Al6061,20,0.045180708,282.0823447,Uniaxial tension
Al6061,20,0.045705634,282.2783761,Uniaxial tension
Al6061,20,0.046232702,282.4775058,Uniaxial tension
Al6061,20,0.046759029,282.7397283,Uniaxial tension
Al6061,20,0.047285248,282.9168578,Uniaxial tension
Al6061,20,0.047806611,283.0953769,Uniaxial tension
Al6061,20,0.048335815,283.2818101,Uniaxial tension
Al6061,20,0.048863624,283.5127917,Uniaxial tension
Al6061,20,0.049389273,283.7249766,Uniaxial tension
Al6061,20,0.049917287,283.8952971,Uniaxial tension
Al6061,20,0.050444665,284.0982073,Uniaxial tension
Al6061,20,0.050967683,284.2956736,Uniaxial tension
Al6061,20,0.05149889,284.4760682,Uniaxial tension
Al6061,20,0.052024986,284.7004454,Uniaxial tension
Al6061,20,0.052553609,284.8633026,Uniaxial tension
Al6061,20,0.053088384,285.0109465,Uniaxial tension
Al6061,20,0.053622298,285.2279418,Uniaxial tension
Al6061,20,0.05415832,285.3448573,Uniaxial tension
Al6061,20,0.054699278,285.5035788,Uniaxial tension
Al6061,20,0.055238197,285.6819276,Uniaxial tension
Al6061,20,0.055781359,285.8515953,Uniaxial tension
Al6061,20,0.056323629,286.0079798,Uniaxial tension
Al6061,20,0.056865643,286.204143,Uniaxial tension
Al6061,20,0.057412014,286.4044928,Uniaxial tension
Al6061,20,0.057962063,286.6259032,Uniaxial tension
Al6061,20,0.058515669,286.8467904,Uniaxial tension
Al6061,20,0.059094757,287.0314966,Uniaxial tension
Al6061,20,0.059674127,287.1338507,Uniaxial tension
Al6061,20,0.060250226,287.2934443,Uniaxial tension
Al6061,20,0.060816028,287.4163746,Uniaxial tension
Al6061,20,0.061389923,287.5197732,Uniaxial tension
Al6061,20,0.061963213,287.6652063,Uniaxial tension
Al6061,20,0.062537423,287.7605638,Uniaxial tension
Al6061,20,0.063091994,287.9196721,Uniaxial tension
Al6061,20,0.063645202,288.1071642,Uniaxial tension
Al6061,20,0.064207988,288.2437827,Uniaxial tension
Al6061,20,0.064782899,288.4067777,Uniaxial tension
Al6061,20,0.065349545,288.5967191,Uniaxial tension
Al6061,20,0.065918033,288.6889553,Uniaxial tension
Al6061,20,0.066491595,288.8097136,Uniaxial tension
Al6061,20,0.067064259,288.9592262,Uniaxial tension
Al6061,20,0.06764244,289.0891205,Uniaxial tension
Al6061,20,0.068216174,289.2561121,Uniaxial tension
Al6061,20,0.068795835,289.3756631,Uniaxial tension
Al6061,20,0.069382225,289.4641388,Uniaxial tension
Al6061,20,0.069971247,289.587333,Uniaxial tension
Al6061,20,0.070558247,289.7102388,Uniaxial tension
Al6061,20,0.071150265,289.7973542,Uniaxial tension
Al6061,20,0.071743458,289.941281,Uniaxial tension
Al6061,20,0.07234014,290.0760325,Uniaxial tension
Al6061,20,0.07293902,290.2176395,Uniaxial tension
Al6061,20,0.073540517,290.3096502,Uniaxial tension
Al6061,20,0.074147391,290.4384295,Uniaxial tension
Al6061,20,0.07476088,290.5911893,Uniaxial tension
Al6061,20,0.07537443,290.7307276,Uniaxial tension
Al6061,20,0.07599282,290.8009506,Uniaxial tension
Al6061,20,0.076620519,290.8501391,Uniaxial tension
Al6061,20,0.077247795,290.9198937,Uniaxial tension
Al6061,20,0.077876963,291.0438529,Uniaxial tension
Al6061,20,0.078509705,291.153034,Uniaxial tension
Al6061,20,0.079145085,291.2181357,Uniaxial tension
Al6061,20,0.079790718,291.2918308,Uniaxial tension
Al6061,20,0.080445033,291.4087161,Uniaxial tension
Al6061,20,0.081103634,291.4931024,Uniaxial tension
Al6061,20,0.08176802,291.5701997,Uniaxial tension
Al6061,20,0.082440282,291.620916,Uniaxial tension
Al6061,20,0.083114375,291.6526635,Uniaxial tension
Al6061,20,0.083800897,291.7050793,Uniaxial tension
Al6061,20,0.084488361,291.7192373,Uniaxial tension
Al6061,20,0.085170305,291.7367661,Uniaxial tension
Al6061,20,0.085858739,291.7725786,Uniaxial tension
Al6061,20,0.086550824,291.8214433,Uniaxial tension
Al6061,20,0.087245755,291.7940392,Uniaxial tension
Al6061,20,0.087947504,291.7730919,Uniaxial tension
Al6061,20,0.088641819,291.7319251,Uniaxial tension
Al6061,20,0.08933702,291.6738921,Uniaxial tension
Al6061,20,0.090042704,291.5625513,Uniaxial tension
Al6061,20,0.090739031,291.4490381,Uniaxial tension
Al6061,20,0.091436878,291.2030672,Uniaxial tension
Al6061,20,0.092139273,291.0273618,Uniaxial tension
Al6061,20,0.092833526,290.7961868,Uniaxial tension
Al6061,20,0.093532376,290.4679301,Uniaxial tension
Al6061,20,0.094223118,290.0855047,Uniaxial tension
Al6061,20,0.094913342,289.6270712,Uniaxial tension
Al6061,20,0.095612644,289.1108212,Uniaxial tension
Al6061,20,0.096318187,288.5315253,Uniaxial tension
Al6061,20,0.097039453,287.8459524,Uniaxial tension
Al6061,20,0.097792054,287.0662807,Uniaxial tension
Al6061,20,0.09858023,286.1818224,Uniaxial tension
Al6061,20,0.099411025,285.1956586,Uniaxial tension
Al6061,20,0.10026104,284.0827605,Uniaxial tension
Al6061,20,0.101153925,282.8206627,Uniaxial tension
Al6061,20,0.102075434,281.4918966,Uniaxial tension
Al6061,20,0.103015906,279.7492012,Uniaxial tension
Al6061,20,0.103486898,278.9606662,Uniaxial tension
Al6061,20,0.103954947,278.1559393,Uniaxial tension
Al6061,20,0.10442524,277.2499946,Uniaxial tension
Al6061,20,0.10442624,0,Uniaxial tension
