Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,200,-1.17E-05,-0.153762233,Uniaxial tension
Al6061,200,-5.92E-06,-0.174206876,Uniaxial tension
Al6061,200,7.93E-06,-0.11095332,Uniaxial tension
Al6061,200,1.07E-05,0.168666136,Uniaxial tension
Al6061,200,2.14E-05,0.682851094,Uniaxial tension
Al6061,200,3.89E-05,1.44399749,Uniaxial tension
Al6061,200,6.26E-05,2.680360984,Uniaxial tension
Al6061,200,9.03E-05,4.287924626,Uniaxial tension
Al6061,200,0.000129736,6.19438279,Uniaxial tension
Al6061,200,0.00014875,8.315755414,Uniaxial tension
Al6061,200,0.000175267,10.44105686,Uniaxial tension
Al6061,200,0.000192242,12.64785917,Uniaxial tension
Al6061,200,0.000205441,14.97009934,Uniaxial tension
Al6061,200,0.000220541,17.24303514,Uniaxial tension
Al6061,200,0.000236901,19.45870873,Uniaxial tension
Al6061,200,0.000244033,21.77626704,Uniaxial tension
Al6061,200,0.000263668,24.13523837,Uniaxial tension
Al6061,200,0.000285993,26.65745739,Uniaxial tension
Al6061,200,0.000319554,29.25223649,Uniaxial tension
Al6061,200,0.00035965,31.87536033,Uniaxial tension
Al6061,200,0.000392361,34.48371775,Uniaxial tension
Al6061,200,0.000426864,37.08560274,Uniaxial tension
Al6061,200,0.000455259,39.66108252,Uniaxial tension
Al6061,200,0.000491295,42.2849214,Uniaxial tension
Al6061,200,0.00053692,44.89439221,Uniaxial tension
Al6061,200,0.000581679,47.48225594,Uniaxial tension
Al6061,200,0.000621197,50.08359888,Uniaxial tension
Al6061,200,0.000660285,52.66506406,Uniaxial tension
Al6061,200,0.00070792,55.30688186,Uniaxial tension
Al6061,200,0.000737661,57.97693896,Uniaxial tension
Al6061,200,0.000794829,60.65960864,Uniaxial tension
Al6061,200,0.000837031,63.32887728,Uniaxial tension
Al6061,200,0.000888417,65.97847928,Uniaxial tension
Al6061,200,0.000940043,68.64762847,Uniaxial tension
Al6061,200,0.000992602,71.23712872,Uniaxial tension
Al6061,200,0.001036214,73.82233962,Uniaxial tension
Al6061,200,0.001109725,76.37461173,Uniaxial tension
Al6061,200,0.00115172,78.914717,Uniaxial tension
Al6061,200,0.001203091,81.43026864,Uniaxial tension
Al6061,200,0.001250312,83.96653539,Uniaxial tension
Al6061,200,0.001297998,86.44849371,Uniaxial tension
Al6061,200,0.001351027,88.97875455,Uniaxial tension
Al6061,200,0.001407066,91.49743488,Uniaxial tension
Al6061,200,0.00145716,94.03021368,Uniaxial tension
Al6061,200,0.001519055,96.55738871,Uniaxial tension
Al6061,200,0.001571013,99.07240133,Uniaxial tension
Al6061,200,0.001619757,101.5634063,Uniaxial tension
Al6061,200,0.001673724,104.0070294,Uniaxial tension
Al6061,200,0.001711248,106.442939,Uniaxial tension
Al6061,200,0.001766387,108.8591897,Uniaxial tension
Al6061,200,0.001818883,111.2255127,Uniaxial tension
Al6061,200,0.001867758,113.5430863,Uniaxial tension
Al6061,200,0.001923351,115.8798304,Uniaxial tension
Al6061,200,0.001979193,118.2047288,Uniaxial tension
Al6061,200,0.002033418,120.5214066,Uniaxial tension
Al6061,200,0.002100115,122.7919461,Uniaxial tension
Al6061,200,0.002152448,125.018208,Uniaxial tension
Al6061,200,0.002208472,127.1829777,Uniaxial tension
Al6061,200,0.002251328,129.3551922,Uniaxial tension
Al6061,200,0.002300524,131.548365,Uniaxial tension
Al6061,200,0.002356053,133.6644659,Uniaxial tension
Al6061,200,0.002409561,135.7552642,Uniaxial tension
Al6061,200,0.002458696,137.8453771,Uniaxial tension
Al6061,200,0.002504279,139.9276799,Uniaxial tension
Al6061,200,0.002551453,142.0441376,Uniaxial tension
Al6061,200,0.002603397,144.1053943,Uniaxial tension
Al6061,200,0.002656278,146.0368311,Uniaxial tension
Al6061,200,0.002706716,147.9976723,Uniaxial tension
Al6061,200,0.002758864,149.937649,Uniaxial tension
Al6061,200,0.00281026,151.8775993,Uniaxial tension
Al6061,200,0.002861205,153.7805932,Uniaxial tension
Al6061,200,0.0029092,155.6406954,Uniaxial tension
Al6061,200,0.00296885,157.4547757,Uniaxial tension
Al6061,200,0.003019196,159.3334115,Uniaxial tension
Al6061,200,0.003070194,161.1364684,Uniaxial tension
Al6061,200,0.003118199,162.9286842,Uniaxial tension
Al6061,200,0.003177239,164.6135457,Uniaxial tension
Al6061,200,0.003238068,166.3149349,Uniaxial tension
Al6061,200,0.003295106,167.9844305,Uniaxial tension
Al6061,200,0.003355096,169.6557902,Uniaxial tension
Al6061,200,0.003418489,171.190172,Uniaxial tension
Al6061,200,0.00348005,172.759215,Uniaxial tension
Al6061,200,0.003545363,174.2709861,Uniaxial tension
Al6061,200,0.003609,175.7560956,Uniaxial tension
Al6061,200,0.003678704,177.1304049,Uniaxial tension
Al6061,200,0.003760304,178.4123281,Uniaxial tension
Al6061,200,0.003838986,179.6275082,Uniaxial tension
Al6061,200,0.003928836,180.7953177,Uniaxial tension
Al6061,200,0.004039313,181.8442066,Uniaxial tension
Al6061,200,0.004147754,182.7937295,Uniaxial tension
Al6061,200,0.004254655,183.6576465,Uniaxial tension
Al6061,200,0.004369223,184.4558254,Uniaxial tension
Al6061,200,0.004495644,185.1630614,Uniaxial tension
Al6061,200,0.004628923,185.7700613,Uniaxial tension
Al6061,200,0.004759785,186.2862909,Uniaxial tension
Al6061,200,0.0048812,186.6889279,Uniaxial tension
Al6061,200,0.005019797,187.024834,Uniaxial tension
Al6061,200,0.005176271,187.3135146,Uniaxial tension
Al6061,200,0.005327189,187.5588657,Uniaxial tension
Al6061,200,0.005478997,187.7846891,Uniaxial tension
Al6061,200,0.005631107,187.9459308,Uniaxial tension
Al6061,200,0.005787683,188.0887057,Uniaxial tension
Al6061,200,0.005948698,188.2356252,Uniaxial tension
