Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,150,-2.88E-05,0.192260503,Uniaxial tension
Al6061,150,-4.88E-05,0.175687945,Uniaxial tension
Al6061,150,-8.30E-05,0.171677202,Uniaxial tension
Al6061,150,-0.000111619,0.319099056,Uniaxial tension
Al6061,150,-0.000154153,0.664752207,Uniaxial tension
Al6061,150,-0.000209649,1.267252645,Uniaxial tension
Al6061,150,-0.000275675,2.142242898,Uniaxial tension
Al6061,150,-0.000332347,3.325554125,Uniaxial tension
Al6061,150,-0.00036778,4.839107226,Uniaxial tension
Al6061,150,-0.000378976,6.720086614,Uniaxial tension
Al6061,150,-0.000376508,8.756603206,Uniaxial tension
Al6061,150,-0.000367212,10.93695989,Uniaxial tension
Al6061,150,-0.000341228,13.19221471,Uniaxial tension
Al6061,150,-0.00029854,15.5633265,Uniaxial tension
Al6061,150,-0.000249815,18.00574648,Uniaxial tension
Al6061,150,-0.000207876,20.48354406,Uniaxial tension
Al6061,150,-0.000163316,22.99448227,Uniaxial tension
Al6061,150,-0.000120776,25.58985325,Uniaxial tension
Al6061,150,-7.19E-05,28.25521701,Uniaxial tension
Al6061,150,-2.52E-05,30.94131722,Uniaxial tension
Al6061,150,2.02E-05,33.59681686,Uniaxial tension
Al6061,150,6.67E-05,36.32703346,Uniaxial tension
Al6061,150,0.000116233,39.02003458,Uniaxial tension
Al6061,150,0.000168189,41.75598393,Uniaxial tension
Al6061,150,0.000217126,44.4737868,Uniaxial tension
Al6061,150,0.000266464,47.19253298,Uniaxial tension
Al6061,150,0.000314329,49.95329709,Uniaxial tension
Al6061,150,0.000372941,52.74830941,Uniaxial tension
Al6061,150,0.000428046,55.49236924,Uniaxial tension
Al6061,150,0.000487691,58.2973037,Uniaxial tension
Al6061,150,0.00053826,61.0415292,Uniaxial tension
Al6061,150,0.000592703,63.80750351,Uniaxial tension
Al6061,150,0.0006482,66.55593406,Uniaxial tension
Al6061,150,0.000710652,69.27527828,Uniaxial tension
Al6061,150,0.000762448,71.98510152,Uniaxial tension
Al6061,150,0.000820934,74.6507897,Uniaxial tension
Al6061,150,0.000872064,77.28713426,Uniaxial tension
Al6061,150,0.000924011,79.87598211,Uniaxial tension
Al6061,150,0.000980965,82.46747215,Uniaxial tension
Al6061,150,0.001035788,85.01626953,Uniaxial tension
Al6061,150,0.001091071,87.51911688,Uniaxial tension
Al6061,150,0.00114104,90.01731237,Uniaxial tension
Al6061,150,0.001187159,92.48904067,Uniaxial tension
Al6061,150,0.001236092,94.94072829,Uniaxial tension
Al6061,150,0.001293755,97.31968712,Uniaxial tension
Al6061,150,0.001346195,99.66999388,Uniaxial tension
Al6061,150,0.001397429,101.9497898,Uniaxial tension
Al6061,150,0.001442735,104.2015434,Uniaxial tension
Al6061,150,0.001497291,106.4237828,Uniaxial tension
Al6061,150,0.001553669,108.5938797,Uniaxial tension
Al6061,150,0.001604677,110.7849864,Uniaxial tension
Al6061,150,0.001648177,113.0010553,Uniaxial tension
Al6061,150,0.001691577,115.1803443,Uniaxial tension
Al6061,150,0.001744813,117.3550658,Uniaxial tension
Al6061,150,0.001801866,119.5891571,Uniaxial tension
Al6061,150,0.001854754,121.8539251,Uniaxial tension
Al6061,150,0.001900256,124.149567,Uniaxial tension
Al6061,150,0.001955551,126.3631282,Uniaxial tension
Al6061,150,0.002007685,128.610222,Uniaxial tension
Al6061,150,0.002064408,130.8062303,Uniaxial tension
Al6061,150,0.0021087,133.0678933,Uniaxial tension
Al6061,150,0.002153899,135.2461586,Uniaxial tension
Al6061,150,0.002205128,137.3470757,Uniaxial tension
Al6061,150,0.002260056,139.4759203,Uniaxial tension
Al6061,150,0.002311437,141.599969,Uniaxial tension
Al6061,150,0.002366513,143.7054963,Uniaxial tension
Al6061,150,0.00241804,145.847943,Uniaxial tension
Al6061,150,0.002470111,147.8833689,Uniaxial tension
Al6061,150,0.002517533,150.0441838,Uniaxial tension
Al6061,150,0.002563071,152.1330465,Uniaxial tension
Al6061,150,0.002616025,154.164803,Uniaxial tension
Al6061,150,0.002664001,156.2047361,Uniaxial tension
Al6061,150,0.002713052,158.2518206,Uniaxial tension
Al6061,150,0.00275814,160.2345354,Uniaxial tension
Al6061,150,0.002814217,162.2371414,Uniaxial tension
Al6061,150,0.002871854,164.1573944,Uniaxial tension
Al6061,150,0.00292098,166.1305525,Uniaxial tension
Al6061,150,0.002964807,168.1188663,Uniaxial tension
Al6061,150,0.003014423,170.1328803,Uniaxial tension
Al6061,150,0.003070369,172.067554,Uniaxial tension
Al6061,150,0.003123135,173.9952981,Uniaxial tension
Al6061,150,0.003166537,175.9362505,Uniaxial tension
Al6061,150,0.003214228,177.8314509,Uniaxial tension
Al6061,150,0.003271362,179.6795323,Uniaxial tension
Al6061,150,0.003323044,181.6102509,Uniaxial tension
Al6061,150,0.003373116,183.4336908,Uniaxial tension
Al6061,150,0.003414914,185.2887205,Uniaxial tension
Al6061,150,0.0034648,187.1171772,Uniaxial tension
Al6061,150,0.003520254,188.9143167,Uniaxial tension
Al6061,150,0.003570649,190.7039235,Uniaxial tension
Al6061,150,0.003617449,192.5000413,Uniaxial tension
Al6061,150,0.003667451,194.2186418,Uniaxial tension
Al6061,150,0.003725694,195.9965887,Uniaxial tension
Al6061,150,0.003786202,197.7540603,Uniaxial tension
Al6061,150,0.003837641,199.5559873,Uniaxial tension
Al6061,150,0.003883628,201.3389594,Uniaxial tension
Al6061,150,0.003941376,203.1049885,Uniaxial tension
Al6061,150,0.003997412,204.9000188,Uniaxial tension
Al6061,150,0.004059467,206.5923375,Uniaxial tension
Al6061,150,0.004112341,208.2368159,Uniaxial tension
Al6061,150,0.004163278,209.8668861,Uniaxial tension
Al6061,150,0.004230237,211.4853647,Uniaxial tension
Al6061,150,0.004302881,213.0926616,Uniaxial tension
Al6061,150,0.004371111,214.651958,Uniaxial tension
Al6061,150,0.004449059,216.162472,Uniaxial tension
Al6061,150,0.004522509,217.6655567,Uniaxial tension
Al6061,150,0.004602348,219.1226454,Uniaxial tension
Al6061,150,0.004701439,220.5363269,Uniaxial tension
Al6061,150,0.004795696,221.7866134,Uniaxial tension
Al6061,150,0.004901183,222.993217,Uniaxial tension
Al6061,150,0.00500658,224.130245,Uniaxial tension
Al6061,150,0.005112422,225.1223294,Uniaxial tension
Al6061,150,0.005235466,226.0271027,Uniaxial tension
Al6061,150,0.005364741,226.8142736,Uniaxial tension
Al6061,150,0.005492407,227.4871489,Uniaxial tension
Al6061,150,0.005637233,228.1101968,Uniaxial tension
Al6061,150,0.005781249,228.6312631,Uniaxial tension
Al6061,150,0.005938367,229.086383,Uniaxial tension
Al6061,150,0.006101101,229.4860247,Uniaxial tension
Al6061,150,0.006263408,229.8382225,Uniaxial tension
Al6061,150,0.006429588,230.1178793,Uniaxial tension
Al6061,150,0.006601865,230.3345189,Uniaxial tension
Al6061,150,0.006765849,230.5227148,Uniaxial tension
Al6061,150,0.006933105,230.6374072,Uniaxial tension
Al6061,150,0.007096418,230.6985252,Uniaxial tension
Al6061,150,0.007262652,230.7860255,Uniaxial tension
Al6061,150,0.007434136,230.8063776,Uniaxial tension
Al6061,150,0.00760757,230.8524261,Uniaxial tension
Al6061,150,0.007775745,230.932083,Uniaxial tension
Al6061,150,0.007942274,231.0191324,Uniaxial tension
Al6061,150,0.008114368,231.1130107,Uniaxial tension
Al6061,150,0.008290969,231.2158836,Uniaxial tension
Al6061,150,0.008471742,231.3104266,Uniaxial tension
Al6061,150,0.008649113,231.430147,Uniaxial tension
Al6061,150,0.008822069,231.5460053,Uniaxial tension
Al6061,150,0.009001217,231.6283511,Uniaxial tension
Al6061,150,0.009187911,231.7145432,Uniaxial tension
Al6061,150,0.009371524,231.8205318,Uniaxial tension
Al6061,150,0.009557894,231.9063332,Uniaxial tension
Al6061,150,0.009743486,231.9936573,Uniaxial tension
Al6061,150,0.009922743,232.0636609,Uniaxial tension
Al6061,150,0.010112129,232.1344865,Uniaxial tension
Al6061,150,0.010296863,232.1915019,Uniaxial tension
Al6061,150,0.010480536,232.2384912,Uniaxial tension
Al6061,150,0.010663276,232.282545,Uniaxial tension
Al6061,150,0.010848602,232.3616327,Uniaxial tension
Al6061,150,0.011032124,232.4081213,Uniaxial tension
Al6061,150,0.011216677,232.4790936,Uniaxial tension
Al6061,150,0.01139981,232.5616838,Uniaxial tension
Al6061,150,0.011584537,232.636784,Uniaxial tension
Al6061,150,0.011767719,232.7203194,Uniaxial tension
Al6061,150,0.011952475,232.7892796,Uniaxial tension
Al6061,150,0.01213796,232.8297844,Uniaxial tension
Al6061,150,0.012321474,232.8853647,Uniaxial tension
Al6061,150,0.012506736,232.9369656,Uniaxial tension
Al6061,150,0.012690968,233.0101912,Uniaxial tension
Al6061,150,0.012875844,233.0954039,Uniaxial tension
Al6061,150,0.013059991,233.1614702,Uniaxial tension
Al6061,150,0.01324864,233.2362801,Uniaxial tension
Al6061,150,0.01342345,233.3389383,Uniaxial tension
Al6061,150,0.013602732,233.3969858,Uniaxial tension
Al6061,150,0.013788149,233.4672051,Uniaxial tension
Al6061,150,0.013969798,233.5189651,Uniaxial tension
Al6061,150,0.014150267,233.5572506,Uniaxial tension
Al6061,150,0.01433727,233.6156804,Uniaxial tension
