Alloy_Name,Temp (°C),Strain,Stress_MPa,Specimen_Type
Al6061,250,-8.67E-05,1.493619161,Uniaxial tension
Al6061,250,-0.000138608,2.12667671,Uniaxial tension
Al6061,250,-0.00018697,2.79096841,Uniaxial tension
Al6061,250,-0.000222405,3.699650845,Uniaxial tension
Al6061,250,-0.000284488,5.25805936,Uniaxial tension
Al6061,250,-0.000343268,6.941585978,Uniaxial tension
Al6061,250,-0.000391331,8.68121877,Uniaxial tension
Al6061,250,-0.000427718,10.51090885,Uniaxial tension
Al6061,250,-0.000430085,12.44286719,Uniaxial tension
Al6061,250,-0.000411919,14.45016725,Uniaxial tension
Al6061,250,-0.000386422,16.36071259,Uniaxial tension
Al6061,250,-0.000366873,18.29964898,Uniaxial tension
Al6061,250,-0.00032913,20.38444025,Uniaxial tension
Al6061,250,-0.000288836,22.53992665,Uniaxial tension
Al6061,250,-0.000243533,24.73963145,Uniaxial tension
Al6061,250,-0.000200668,26.94340541,Uniaxial tension
Al6061,250,-0.000166171,29.16020531,Uniaxial tension
Al6061,250,-0.00012588,31.35026892,Uniaxial tension
Al6061,250,-7.78E-05,33.56536096,Uniaxial tension
Al6061,250,-3.56E-05,35.73544305,Uniaxial tension
Al6061,250,1.06E-05,37.86827852,Uniaxial tension
Al6061,250,5.22E-05,39.9203849,Uniaxial tension
Al6061,250,9.75E-05,41.93735771,Uniaxial tension
Al6061,250,0.000143443,43.93754319,Uniaxial tension
Al6061,250,0.000181353,45.93406989,Uniaxial tension
Al6061,250,0.000226433,47.90558371,Uniaxial tension
Al6061,250,0.000272643,49.82255954,Uniaxial tension
Al6061,250,0.000316898,51.70997851,Uniaxial tension
Al6061,250,0.000364882,53.62367137,Uniaxial tension
Al6061,250,0.000408168,55.51820648,Uniaxial tension
Al6061,250,0.000456516,57.39360789,Uniaxial tension
Al6061,250,0.00050368,59.21514437,Uniaxial tension
Al6061,250,0.000551297,61.01340194,Uniaxial tension
Al6061,250,0.000593412,62.7656437,Uniaxial tension
Al6061,250,0.000638517,64.45801853,Uniaxial tension
Al6061,250,0.000683185,66.16746412,Uniaxial tension
Al6061,250,0.000727884,67.9030169,Uniaxial tension
Al6061,250,0.000769863,69.59915466,Uniaxial tension
Al6061,250,0.000816278,71.27962191,Uniaxial tension
Al6061,250,0.000860984,72.94350591,Uniaxial tension
Al6061,250,0.000911828,74.67325447,Uniaxial tension
Al6061,250,0.000958291,76.40014098,Uniaxial tension
Al6061,250,0.001003255,78.03603695,Uniaxial tension
Al6061,250,0.001051987,79.62788531,Uniaxial tension
Al6061,250,0.00110309,81.21458762,Uniaxial tension
Al6061,250,0.001150016,82.78399182,Uniaxial tension
Al6061,250,0.001197032,84.31929424,Uniaxial tension
Al6061,250,0.001240089,85.77013855,Uniaxial tension
Al6061,250,0.001280238,87.28554084,Uniaxial tension
Al6061,250,0.001327349,88.78942676,Uniaxial tension
Al6061,250,0.00137249,90.34247146,Uniaxial tension
Al6061,250,0.001419322,91.86140605,Uniaxial tension
Al6061,250,0.001470361,93.39092575,Uniaxial tension
Al6061,250,0.001519721,94.91588907,Uniaxial tension
Al6061,250,0.001571024,96.44811467,Uniaxial tension
Al6061,250,0.001627882,97.9634607,Uniaxial tension
Al6061,250,0.001677026,99.46659607,Uniaxial tension
Al6061,250,0.001726361,100.8750777,Uniaxial tension
Al6061,250,0.001775218,102.3416298,Uniaxial tension
Al6061,250,0.0018296,103.7653378,Uniaxial tension
Al6061,250,0.001879698,105.1615588,Uniaxial tension
Al6061,250,0.001931574,106.5739366,Uniaxial tension
Al6061,250,0.001980772,107.9164836,Uniaxial tension
Al6061,250,0.002034321,109.326786,Uniaxial tension
Al6061,250,0.002084796,110.710607,Uniaxial tension
Al6061,250,0.002136886,112.0171186,Uniaxial tension
Al6061,250,0.002184281,113.2965767,Uniaxial tension
Al6061,250,0.002232892,114.5893143,Uniaxial tension
